,frequency_segment,monetary_segment,recency_segment,client_id
0,1,2,2,18440_id
1,1,2,2,17199_id
2,1,4,1,2593_id
3,1,3,2,13169_id
4,1,4,1,1307_id
5,2,2,3,18350_id
6,1,4,1,3209_id
7,1,3,2,15915_id
8,1,2,2,16513_id
9,1,4,2,9499_id
10,1,4,1,4281_id
11,1,4,1,268_id
12,1,4,1,3088_id
13,1,4,1,8073_id
14,3,2,3,18846_id
15,4,1,4,19740_id
16,4,1,4,19690_id
17,1,4,1,8381_id
18,1,4,1,2686_id
19,1,3,2,16509_id
20,1,4,1,5842_id
21,1,4,1,3845_id
22,1,4,1,2452_id
23,1,3,2,13097_id
24,1,2,2,16641_id
25,1,4,1,5957_id
26,1,4,1,5830_id
27,1,4,1,2995_id
28,1,4,1,929_id
29,2,3,2,17929_id
30,1,4,1,1855_id
31,1,4,1,230_id
32,1,3,2,13423_id
33,1,4,2,11480_id
34,1,4,1,7254_id
35,1,4,1,7241_id
36,1,4,1,1218_id
37,1,3,2,15785_id
38,1,4,1,11198_id
39,1,4,2,9504_id
40,1,3,2,12752_id
41,1,4,1,8719_id
42,1,4,1,8765_id
43,1,4,1,6194_id
44,1,4,1,10845_id
45,1,4,1,466_id
46,1,3,2,14408_id
47,1,4,2,12837_id
48,1,4,1,3515_id
49,1,4,1,6712_id
50,1,4,1,1852_id
51,1,4,1,4613_id
52,1,4,1,7245_id
53,1,4,1,8243_id
54,1,4,1,5397_id
55,1,4,1,3433_id
56,1,4,1,5102_id
57,3,1,3,19133_id
58,1,4,1,1435_id
59,1,3,2,13438_id
60,1,4,1,2897_id
61,1,4,1,2880_id
62,1,4,2,12344_id
63,1,4,1,3403_id
64,1,4,1,1455_id
65,3,2,3,18587_id
66,1,4,1,8812_id
67,1,4,1,5892_id
68,1,4,1,149_id
69,1,3,2,16598_id
70,3,1,3,19006_id
71,1,4,1,5283_id
72,1,4,1,5727_id
73,1,4,2,9324_id
74,1,4,1,7989_id
75,1,4,1,4605_id
76,1,3,2,13095_id
77,1,3,2,12386_id
78,3,2,3,18668_id
79,4,1,3,19335_id
80,1,4,2,9938_id
81,1,4,1,7376_id
82,1,4,1,7345_id
83,1,3,2,15507_id
84,1,4,1,5050_id
85,1,3,2,14452_id
86,1,4,1,3298_id
87,1,4,1,388_id
88,2,2,3,17706_id
89,1,4,1,5886_id
90,1,4,1,7971_id
91,1,4,2,10749_id
92,1,4,1,1202_id
93,1,4,2,12878_id
94,1,3,2,15906_id
95,1,3,2,16033_id
96,1,4,1,6038_id
97,1,2,2,17063_id
98,1,4,1,4491_id
99,1,4,2,13840_id
100,1,4,1,7586_id
101,1,4,1,1328_id
102,1,4,1,7136_id
103,1,4,1,6604_id
104,2,3,2,17654_id
105,1,4,1,9827_id
106,1,3,2,12606_id
107,1,3,2,14920_id
108,1,4,1,27_id
109,1,3,2,13859_id
110,1,4,1,1286_id
